namePlayer,amountContract
Otto Porter,27250576
Zach LaVine,19500000
Thaddeus Young,12900000
Tomas Satoransky,10000000
Cristiano Felicio,8156500
Kris Dunn,5348007
Coby White,5307120
Lauri Markkanen,5300400
Wendell Carter,5201400
Denzel Valentine,3377568
Ryan Arcidiacono,3000000
Omer Asik,3000000
Chandler Hutchison,2332320
Luke Kornet,2250000
Shaquille Harrison,1620564
Antonio Blakeney,1488231
Daniel Gafford,898310
Adam Mokoka,79568
Max Strus,79568
Chandler Parsons,25102512
Jeff Teague,19000000
Evan Turner,18606556
De'Andre Hunter,7068360
Jabari Parker,6500000
Trae Young,6273000
Cam Reddish,4245720
Alex Len,4160000
John Collins,2686560
Kevin Huerter,2636280
DeAndre Bembry,2603981
Vince Carter,2564753
Damian Jones,2305057
Treveon Graham,1645357
Jabari Bird,1588231
Bruno Fernando,1400000
Tyrone Wallace,494409
Jaylen Adams,100000
Charlie Brown,79568
Brandon Goodwin,79568
Paul Watson,50751
Kemba Walker,32742000
Gordon Hayward,32700690
Marcus Smart,12553571
Jayson Tatum,7830000
Jaylen Brown,6534829
Daniel Theis,5000000
Enes Kanter,4767000
Romeo Langford,3458400
Vincent Poirier,2505793
Grant Williams,2379840
Robert Williams,1937520
Semi Ojeleye,1618520
Brad Wanamaker,1445697
Carsen Edwards,1228026
Guerschon Yabusele,1039080
Javonte Green,898310
Demetrius Jackson,92857
Tacko Fall,79568
Tremont Waters,79568
Nicolas Batum,25565217
Terry Rozier,19894737
Bismack Biyombo,17000000
Marvin Williams,15006250
Cody Zeller,14471910
Michael Kidd-Gilchrist,13000000
Malik Monk,4028400
PJ Washington,3831840
Miles Bridges,3755400
Dwayne Bacon,1618520
Willy Hernangomez,1557250
Devonte Graham,1416852
Cody Martin,1173310
Caleb Martin,898310
Jalen McDaniels,898310
Robert Franks,79568
Kobi Simmons,79568
Raymond Spalding,79568
Joe Chealey,50000
Kevin Love,28942830
Tristan Thompson,18539130
Brandon Knight,15643750
Larry Nance Jr,12727273
John Henson,9732396
Matthew Dellavedova,9607500
Dante Exum,9600000
Darius Garland,6400920
Collin Sexton,4764960
Cedi Osman,2907143
Ante Zizic,2281800
Dylan Windler,2035800
JR Smith,1456667
Kevin Porter,1290960
Alfonzo McKinnie,897260
Levi Randolph,129568
Tyler Cook,126878
Matt Mooney,79568
Dean Wade,79568
Paul George,33005556
Kawhi Leonard,32742000
Patrick Beverley,12345680
Moe Harkless,11011234
Louis Williams,8000000
Ivica Zubac,6481482
Montrezl Harrell,6000000
Rodney McGruder,4807693
JaMychal Green,4767000
Jerome Robinson,3567720
Patrick Patterson,2331593
Landry Shamet,1995120
Mfiondu Kabengele,1977000
Derrick Walton,1445697
Terance Mann,1000000
Amir Coffey,79568
Johnathan Motley,79568
LeBron James,37436858
Anthony Davis,27093019
Danny Green,14634147
Kentavious Caldwell-Pope,8089282
Luol Deng,5000000
Avery Bradley,4767000
JaVale McGee,4000000
DeMarcus Cousins,3500000
Quinn Cook,3000000
Alex Caruso,2750000
Jared Dudley,2564753
Dwight Howard,2564753
Rajon Rondo,2564753
Troy Daniels,2028594
Kyle Kuzma,1974600
Talen Horton-Tucker,898310
Kostas Antetokounmpo,79568
Devontae Cacok,79568
Zach Norvell,79568
Jimmy Butler,32742000
Goran Dragic,19217900
James Johnson,15349400
Justise Winslow,13000000
Kelly Olynyk,12667885
Dion Waiters,12100000
Meyers Leonard,11286515
Ryan Anderson,5214583
Tyler Herro,3640200
Bam Adebayo,3454080
Udonis Haslem,2564753
Derrick Jones,1645357
Kendrick Nunn,1416852
Duncan Robinson,1416852
KZ Okpala,898310
Chris Silva,546486
Yante Maten,100000
Kyle Alexander,79568
Daryl Macon,79568
Khris Middleton,30603448
Giannis Antetokounmpo,25842697
Eric Bledsoe,15625000
Brook Lopez,12093024
George Hill,10133907
Ersan Ilyasova,7000000
Robin Lopez,4767000
Jon Leuer,3169348
DJ Wilson,2961120
Donte DiVincenzo,2905800
Kyle Korver,2564753
Wesley Matthews,2564753
Spencer Hawes,2007058
Larry Sanders,1865546
Pat Connaughton,1723050
Dragan Bender,1678854
Sterling Brown,1618520
Thanasis Antetokounmpo,1445697
Frank Mason,79568
Cam Reynolds,79568
Andrew Wiggins,27504630
Karl-Anthony Towns,27285000
Allen Crabbe,18500000
Gorgui Dieng,16229213
Robert Covington,11301219
Jarrett Culver,5813640
Jake Layman,3581986
Josh Okogie,2530680
Noah Vonleh,2000000
Shabazz Napier,1845301
Jordan Bell,1620564
Keita Bates-Diop,1416852
Jaylen Nowell,1400000
Naz Reid,898310
Cole Aldrich,685340
Jordan McLaughlin,79568
Kelan Martin,79568
Jrue Holiday,26131111
Derrick Favors,17650000
JJ Redick,13486300
Zion Williamson,9757440
Lonzo Ball,8719320
E'Twaun Moore,8664928
Brandon Ingram,7265485
Darius Miller,7250000
Jaxson Hayes,4862040
Nicolo Melli,4102564
Nickeil Alexander-Walker,2964840
Josh Hart,1934160
Jahlil Okafor,1702486
Frank Jackson,1618520
Kenrich Williams,1416852
Zylan Cheatham,79568
Josh Gray,79568
Julius Randle,18000000
Marcus Morris,15000000
Bobby Portis,15000000
Taj Gibson,9000000
Wayne Ellington,8000000
Elfrid Payton,8000000
RJ Barrett,7839960
Joakim Noah,6431666
Frank Ntilikina,4855800
Dennis Smith,4463640
Kevin Knox,4380120
Reggie Bullock,4000000
Allonzo Trier,3551100
Damyean Dotson,1618520
Mitchell Robinson,1559712
Ignas Brazdeikis,898310
Kadeem Allen,79568
Ivan Rabb,79568
Kenny Wooten,79568
Chris Paul,38506482
Steven Adams,25842697
Danilo Gallinari,22615559
Dennis Schroeder,15500000
Andre Roberson,10740740
Shai Gilgeous-Alexander,3952920
Terrance Ferguson,2475840
Darius Bazley,2284800
Mike Muscala,2028594
Nerlens Noel,1882867
Abdel Nader,1618520
Isaiah Roby,1500000
Deonte Burton,1416852
Hamidou Diallo,1416852
Kyle Singler,999200
Patrick Patterson,737067
Luguentz Dort,79568
Devon Hall,79568
Kevin Hervey,79568
Nikola Vucevic,28000000
Aaron Gordon,19863636
Evan Fournier,17000000
Terrence Ross,12500000
Markelle Fultz,9745200
Al-Farouq Aminu,9258000
DJ Augustin,7250000
Jonathan Isaac,5806440
Mo Bamba,5697600
Timofey Mozgov,5573333
Khem Birch,3000000
Michael Carter-Williams,2028594
Wesley Iwundu,1618520
Melvin Frazier,1416852
Amile Jefferson,1339515
CJ Watson,333333
Josh Magette,161245
Gary Clark,81677
BJ Johnson,79568
Vic Law,79568
Tobias Harris,32742000
Al Horford,28000000
Joel Embiid,27504630
Josh Richardson,10116576
Ben Simmons,8113929
Mike Scott,4767000
Zhaire Smith,3058800
Matisse Thybulle,2582160
Kyle O'Quinn,2174318
Trey Burke,2028594
James Ennis,1882867
Raul Neto,1737145
Jonah Bolden,1698450
Furkan Korkmaz,1620564
Shake Milton,1445697
Norvel Pelle,79568
Marial Shayok,79568
Devin Booker,27285000
Tyler Johnson,19245370
Ricky Rubio,16200000
Kelly Oubre,15625000
Deandre Ayton,9562920
Aron Baynes,5453280
Frank Kaminsky,4767000
Mikal Bridges,4161000
Cameron Johnson,4033440
Dario Saric,3481985
Kyle Korver,3440000
Ty Jerome,2193480
Cheick Diallo,1678854
Jevon Carter,1416852
Elie Okobo,1416852
Jalen Lecque,898310
Jared Harper,79568
Tariq Owens,79568
Damian Lillard,29802321
CJ McCollum,27556959
Hassan Whiteside,27093018
Trevor Ariza,12200000
Jusuf Nurkic,12000000
Rodney Hood,5718000
Zach Collins,4240200
Andrew Nicholson,2844429
Pau Gasol,2564753
Skal Labissiere,2338846
Carmelo Anthony,2159029
Anfernee Simons,2149560
Nassir Little,2105520
Caleb Swanigan,2033160
Anderson Varejao,1913345
Mario Hezonja,1737145
Gary Trent Jr,1416852
Festus Ezeli,333333
Moses Brown,79568
Wenyen Gabriel,79568
Jaylen Hoard,79568
Harrison Barnes,24147727
Kent Bazemore,19269663
Dewayne Dedmon,13333334
Cory Joseph,12000000
Marvin Bagley,8556120
Bogdan Bogdanovic,8529386
Nemanja Bjelica,6825000
De'Aaron Fox,6392760
Buddy Hield,4861207
Richaun Holmes,4767000
Yogi Ferrell,3150000
Harry Giles,2578800
Anthony Tolliver,2564753
Matt Barnes,2133542
Justin James,898310
DaQuan Jeffries,898310
Kyle Guy,79568
Tyler Lydon,50000
DeMar DeRozan,27739975
LaMarcus Aldridge,26000000
Rudy Gay,14500000
Patrick Mills,12428571
DeMarre Carroll,7000000
Marco Belinelli,5846154
Trey Lyles,5500000
Pau Gasol,5074856
Jakob Poeltl,3754885
Bryn Forbes,2875000
Lonnie Walker,2764200
Luka Samanic,2689920
Dejounte Murray,2321735
Keldon Johnson,1950600
Derrick White,1948080
Chimezie Metu,1416852
Drew Eubanks,79568
Quinndary Weatherspoon,79568
Mike Conley,32511623
Rudy Gobert,24258427
Bojan Bogdanovic,17000000
Jordan Clarkson,13437500
Joe Ingles,11454546
Ed Davis,4767000
Donovan Mitchell,3635760
Jeff Green,2564753
Tony Bradley,1962360
Emmanuel Mudiay,1737145
Georges Niang,1645357
Royce O'Neale,1618520
Nigel Williams-Goss,1500000
Miye Oni,898310
Juwan Morgan,796806
Rayjon Tucker,578572
Stanton Kidd,250000
Jarrell Brantley,79568
Justin Wright-Foreman,79568
William Howard,50000
Kristaps Porzingis,27285000
Tim Hardaway Jr,20025127
Courtney Lee,12759670
Dwight Powell,10259375
Delon Wright,9473684
Maxi Kleber,8000000
Luka Doncic,7683360
Seth Curry,7461380
Dorian Finney-Smith,4000000
Boban Marjanovic,3500000
Justin Jackson,3280920
Jose Juan Barea,2564753
Willie Cauley-Stein,2177483
Justin Patton,1620564
Ryan Broekhoff,1416852
Jalen Brunson,1416852
Raymond Spalding,708426
Antonius Cleveland,79568
Josh Reaves,79568
Paul Millsap,30000000
Nikola Jokic,27504630
Gary Harris,17839286
Mason Plumlee,14041096
Will Barton,12776786
Jerami Grant,9346153
Jamal Murray,4444746
Michael Porter,3389400
Juan Hernangomez,3321029
Malik Beasley,2731713
Torrey Craig,2000000
Monte Morris,1588231
Jarred Vanderbilt,1416852
Vlatko Cancar,898310
Bol Bol,79568
PJ Dozier,79568
Blake Griffin,34449964
Andre Drummond,27093018
Reggie Jackson,18086956
Tony Snell,11392857
Langston Galloway,7333333
Derrick Rose,7317074
Josh Smith,5331729
Luke Kennard,3827160
Thon Maker,3569643
Sekou Doumbouya,3285120
Markieff Morris,3200000
Christian Wood,1645357
Tim Frazier,1620564
Bruce Brown,1416852
Sviatoslav Mykhailiuk,1416852
Khyri Thomas,1416852
Joe Johnson,220000
Jordan Bone,79568
Louis King,79568
Kyle Lowry,33296296
Marc Gasol,25595700
Serge Ibaka,23271604
Norman Powell,10116576
Fred VanVleet,9346153
Patrick McCaw,4000000
Stanley Johnson,3623000
Rondae Hollis-Jefferson,2500000
Pascal Siakam,2351838
OG Anunoby,2281800
Chris Boucher,1588231
Malcolm Miller,1588231
Justin Hamilton,1000000
Terence Davis,898310
Dewan Hernandez,898310
Matt Thomas,898310
Cameron Payne,150000
Oshae Brissett,129568
Shamorie Ponds,79568
Stephen Curry,40231758
Klay Thompson,32742000
D'Angelo Russell,27285000
Draymond Green,18539130
Kevon Looney,4464286
Alec Burks,2320044
Jordan Poole,1964760
Jacob Evans,1928280
Omari Spellman,1897800
Glenn Robinson III,1882867
Damion Lee,921895
Eric Paschall,898310
Alen Smailagic,898310
Marquese Chriss,819401
Shaun Livingston,666666
Ky Bowman,79568
Russell Westbrook,38506482
James Harden,38199000
Clint Capela,16896552
Eric Gordon,14057730
Nen̻,10000000
PJ Tucker,8349039
Danuel House,3540000
Tyson Chandler,2564753
Gerald Green,2564753
Thabo Sefolosha,2564753
Austin Rivers,2174310
Ben McLemore,2028594
Isaiah Hartenstein,1416852
Gary Clark,708426
Chris Clemons,563346
Ryan Anderson,500000
Deyonta Davis,250000
Troy Williams,122741
Michael Frazier,79568
Victor Oladipo,21000000
Malcolm Brogdon,20000000
Myles Turner,18000000
TJ Warren,10810000
Jeremy Lamb,10500000
Doug McDermott,7333333
Justin Holiday,4767000
Domantas Sabonis,3529554
TJ McConnell,3500000
Goga Bitadze,2816760
TJ Leaf,2813280
Monta Ellis,2245400
Aaron Holiday,2239200
Edmond Sumner,2000000
JaKarr Sampson,1737145
Alize Johnson,1416852
Brian Bowen,79568
Naz Long,79568
John Wall,38199000
Bradley Beal,27093018
Ian Mahinmi,15450051
CJ Miles,8730158
Thomas Bryant,8000000
Davis Bertans,7000000
Ishmael Smith,6000000
Rui Hachimura,4469160
Troy Brown,3219480
Isaiah Thomas,2320044
Moritz Wagner,2063520
Jordan McRae,1645357
Isaac Bonga,1416852
Gary Payton II,1043355
Admiral Schofield,1000000
Jonathon Simmons,1000000
Anzejs Pasecniks,561711
Justin Robinson,385715
Johnathan Williams,81677
Chris Chiozza,79568
Garrison Mathews,79568
