country_region,date_bin,confirmed,new_confirmed
Afghanistan,2020-02-24,13,0
Afghanistan,2020-03-02,8,-5
Afghanistan,2020-03-09,13.25,5.25
Afghanistan,2020-03-16,43.75,30.5
Afghanistan,2020-03-23,90.28571428571429,46.53571428571429
Afghanistan,2020-03-30,254.71428571428572,164.42857142857144
Afghanistan,2020-04-06,395,140.28571428571428
Albania,2020-03-09,26.666666666666668,0
Albania,2020-03-16,66.28571428571429,39.61904761904762
Albania,2020-03-23,163.14285714285714,96.85714285714285
Albania,2020-03-30,285.7142857142857,122.57142857142858
Albania,2020-04-06,380,94.28571428571428
Algeria,2020-02-24,6,0
Algeria,2020-03-02,17,11
Algeria,2020-03-09,39,22
Algeria,2020-03-16,100.71428571428571,61.71428571428571
Algeria,2020-03-23,362.42857142857144,261.7142857142857
Algeria,2020-03-30,982.1428571428571,619.7142857142857
Algeria,2020-04-06,1445.5,463.3571428571429
Andorra,2020-03-02,10,0
Andorra,2020-03-09,1.3333333333333333,-8.666666666666666
Andorra,2020-03-16,68.16666666666667,66.83333333333334
Andorra,2020-03-23,231.14285714285714,162.97619047619048
Andorra,2020-03-30,424.2857142857143,193.14285714285714
Andorra,2020-04-06,535,110.71428571428572
Angola,2020-03-16,1.6666666666666667,0
Angola,2020-03-23,4.142857142857143,2.4761904761904763
Angola,2020-03-30,8.857142857142858,4.714285714285714
Angola,2020-04-06,16.5,7.642857142857142
Antigua and Barbuda,2020-03-09,3,0
Antigua and Barbuda,2020-03-16,1,-2
Antigua and Barbuda,2020-03-23,5.285714285714286,4.285714285714286
Antigua and Barbuda,2020-03-30,10.714285714285714,5.428571428571428
Antigua and Barbuda,2020-04-06,17,6.2857142857142865
Argentina,2020-03-02,7.4,0
Argentina,2020-03-09,41.25,33.85
Argentina,2020-03-16,121.71428571428571,80.46428571428571
Argentina,2020-03-23,509.42857142857144,387.7142857142857
Argentina,2020-03-30,1175.4285714285713,665.9999999999999
Argentina,2020-04-06,1591,415.57142857142867
Armenia,2020-02-24,11,0
Armenia,2020-03-09,14,3
Armenia,2020-03-16,117,103
Armenia,2020-03-23,314.14285714285717,197.14285714285717
Armenia,2020-03-30,653.7142857142857,339.5714285714285
Armenia,2020-04-06,843,189.28571428571433
Aruba,2020-03-09,4,0
Aruba,2020-03-16,5.5,1.5
Australia,2020-01-20,2.6666666666666665,0
Australia,2020-01-27,19.857142857142858,17.19047619047619
Australia,2020-02-03,27,7.142857142857142
Australia,2020-02-10,132,105
Australia,2020-02-17,34.333333333333336,-97.66666666666666
Australia,2020-02-24,30.333333333333332,-4.0000000000000036
Australia,2020-03-02,54.42857142857143,24.0952380952381
Australia,2020-03-09,234.4,179.9714285714286
Australia,2020-03-16,775.1428571428571,540.7428571428571
Australia,2020-03-23,2809.5714285714284,2034.4285714285713
Australia,2020-03-30,5066.428571428572,2256.857142857143
Australia,2020-04-06,5846,779.5714285714284
Austria,2020-02-24,6.6,0
Austria,2020-03-02,49.57142857142857,42.97142857142857
Austria,2020-03-09,480,430.42857142857144
Austria,2020-03-16,2113,1633
Austria,2020-03-23,6710,4597
Austria,2020-03-30,10999.142857142857,4289.142857142857
Austria,2020-04-06,12468,1468.8571428571431
Azerbaijan,2020-02-24,6.5,0
Azerbaijan,2020-03-02,19.5,13
Azerbaijan,2020-03-09,28.666666666666668,9.166666666666668
Azerbaijan,2020-03-16,55.4,26.73333333333333
Azerbaijan,2020-03-23,132.85714285714286,77.45714285714286
Azerbaijan,2020-03-30,411.14285714285717,278.28571428571433
Azerbaijan,2020-04-06,679,267.85714285714283
Bahamas,2020-03-16,4,0
Bahamas,2020-03-23,7.714285714285714,3.7142857142857144
Bahamas,2020-03-30,21.857142857142858,14.142857142857142
Bahamas,2020-04-06,31,9.142857142857142
"Bahamas, The",2020-03-16,5,0
Bahrain,2020-02-24,35.666666666666664,0
Bahrain,2020-03-02,87,51.333333333333336
Bahrain,2020-03-09,302,215
Bahrain,2020-03-16,271.42857142857144,-30.571428571428555
Bahrain,2020-03-23,441,169.57142857142856
Bahrain,2020-03-30,622,181
Bahrain,2020-04-06,783.5,161.5
Bangladesh,2020-03-02,6,0
Bangladesh,2020-03-09,5,-1
Bangladesh,2020-03-16,17.285714285714285,12.285714285714285
Bangladesh,2020-03-23,42.714285714285715,25.42857142857143
Bangladesh,2020-03-30,61.285714285714285,18.57142857142857
Bangladesh,2020-04-06,143.5,82.21428571428572
Barbados,2020-03-16,6.8,0
Barbados,2020-03-23,22,15.2
Barbados,2020-03-30,43.714285714285715,21.714285714285715
Barbados,2020-04-06,61.5,17.785714285714285
Belarus,2020-02-24,5,0
Belarus,2020-03-02,30,25
Belarus,2020-03-09,23.4,-6.600000000000001
Belarus,2020-03-16,79,55.6
Belarus,2020-03-23,88,9
Belarus,2020-03-30,303.42857142857144,215.42857142857144
Belarus,2020-04-06,780.5,477.07142857142856
Belgium,2020-02-03,13,0
Belgium,2020-02-17,13,0
Belgium,2020-02-24,2,-11
Belgium,2020-03-02,81.71428571428571,79.71428571428571
Belgium,2020-03-09,653.6,571.8857142857144
Belgium,2020-03-16,2007.857142857143,1354.2571428571428
Belgium,2020-03-23,6634,4626.142857142857
Belgium,2020-03-30,15554,8920
Belgium,2020-04-06,21504,5950
Belize,2020-03-23,1.7142857142857142,0
Belize,2020-03-30,3.5714285714285716,1.8571428571428574
Belize,2020-04-06,7,3.4285714285714284
Benin,2020-03-16,4,0
Benin,2020-03-23,5.857142857142857,1.8571428571428568
Benin,2020-03-30,13.571428571428571,7.714285714285714
Benin,2020-04-06,26,12.428571428571429
Bhutan,2020-03-02,7,0
Bhutan,2020-03-09,3.5,-3.5
Bhutan,2020-03-16,3,-0.5
Bhutan,2020-03-23,2.5714285714285716,-0.4285714285714284
Bhutan,2020-03-30,4.571428571428571,1.9999999999999996
Bhutan,2020-04-06,5,0.4285714285714288
Bolivia,2020-03-09,13.5,0
Bolivia,2020-03-16,20.8,7.300000000000001
Bolivia,2020-03-23,49.57142857142857,28.77142857142857
Bolivia,2020-03-30,124.28571428571429,74.71428571428572
Bolivia,2020-04-06,188.5,64.21428571428571
Bosnia and Herzegovina,2020-03-02,6.5,0
Bosnia and Herzegovina,2020-03-09,15.6,9.1
Bosnia and Herzegovina,2020-03-16,65.71428571428571,50.11428571428571
Bosnia and Herzegovina,2020-03-23,211.85714285714286,146.14285714285717
Bosnia and Herzegovina,2020-03-30,519.5714285714286,307.71428571428567
Bosnia and Herzegovina,2020-04-06,719,199.42857142857144
Botswana,2020-03-30,4.142857142857143,0
Botswana,2020-04-06,6,1.8571428571428568
Brazil,2020-01-20,0,0
Brazil,2020-02-24,5.5,5.5
Brazil,2020-03-02,18,12.5
Brazil,2020-03-09,101.66666666666667,83.66666666666667
Brazil,2020-03-16,696.2857142857143,594.6190476190477
Brazil,2020-03-23,3041,2344.714285714286
Brazil,2020-03-30,7960.285714285715,4919.285714285715
Brazil,2020-04-06,13097.5,5137.214285714285
Brunei,2020-03-09,30.2,0
Brunei,2020-03-16,71.71428571428571,41.514285714285705
Brunei,2020-03-23,111.28571428571429,39.571428571428584
Brunei,2020-03-30,132,20.714285714285708
Brunei,2020-04-06,135,3
Bulgaria,2020-03-02,4,0
Bulgaria,2020-03-09,34.25,30.25
Bulgaria,2020-03-16,111.71428571428571,77.46428571428571
Bulgaria,2020-03-23,270.7142857142857,159
Bulgaria,2020-03-30,450.85714285714283,180.1428571428571
Bulgaria,2020-04-06,563,112.14285714285717
Burkina Faso,2020-03-09,4,0
Burkina Faso,2020-03-16,43.666666666666664,39.666666666666664
Burkina Faso,2020-03-23,160,116.33333333333334
Burkina Faso,2020-03-30,291.7142857142857,131.71428571428572
Burkina Faso,2020-04-06,374,82.28571428571428
Burma,2020-03-23,8.666666666666666,0
Burma,2020-03-30,18,9.333333333333334
Burma,2020-04-06,22,4
Burundi,2020-03-30,2.6666666666666665,0
Burundi,2020-04-06,3,0.3333333333333335
Cabo Verde,2020-03-16,2.3333333333333335,0
Cabo Verde,2020-03-23,4.285714285714286,1.952380952380952
Cabo Verde,2020-03-30,6.285714285714286,2
Cabo Verde,2020-04-06,7,0.7142857142857144
Cambodia,2020-01-27,3.2,0
Cambodia,2020-02-10,25,21.8
Cambodia,2020-03-02,6,-19
Cambodia,2020-03-09,16,10
Cambodia,2020-03-16,48.833333333333336,32.833333333333336
Cambodia,2020-03-23,95.85714285714286,47.023809523809526
Cambodia,2020-03-30,111,15.142857142857139
Cambodia,2020-04-06,114.5,3.5
Cameroon,2020-03-02,6,0
Cameroon,2020-03-09,3,-3
Cameroon,2020-03-16,20.666666666666668,17.666666666666668
Cameroon,2020-03-23,84.71428571428571,64.04761904761904
Cameroon,2020-03-30,369.2857142857143,284.57142857142856
Cameroon,2020-04-06,658,288.7142857142857
Canada,2020-01-20,1,0
Canada,2020-01-27,4,3
Canada,2020-02-03,28.666666666666668,24.666666666666668
Canada,2020-02-10,26,-2.666666666666668
Canada,2020-02-17,25,-1
Canada,2020-02-24,16.833333333333332,-8.166666666666668
Canada,2020-03-02,39.42857142857143,22.5952380952381
Canada,2020-03-09,146.14285714285714,106.71428571428571
Canada,2020-03-16,862.4285714285714,716.2857142857143
Canada,2020-03-23,4101.285714285715,3238.857142857143
Canada,2020-03-30,11134.285714285714,7032.999999999999
Canada,2020-04-06,17217.5,6083.214285714286
Cape Verde,2020-03-16,1,0
Cayman Islands,2020-03-09,1.5,0
Central African Republic,2020-03-09,1,0
Central African Republic,2020-03-16,4.333333333333333,3.333333333333333
Central African Republic,2020-03-23,3,-1.333333333333333
Central African Republic,2020-03-30,5.142857142857143,2.1428571428571432
Central African Republic,2020-04-06,8,2.8571428571428568
Chad,2020-03-16,1.3333333333333333,0
Chad,2020-03-23,2.7142857142857144,1.3809523809523812
Chad,2020-03-30,7.571428571428571,4.857142857142857
Chad,2020-04-06,9.5,1.9285714285714288
Channel Islands,2020-03-09,1,0
Chile,2020-03-02,7.5,0
Chile,2020-03-09,79,71.5
Chile,2020-03-16,405.8333333333333,326.8333333333333
Chile,2020-03-23,1396.2857142857142,990.452380952381
Chile,2020-03-30,3427.285714285714,2031
Chile,2020-04-06,4965.5,1538.2142857142858
Colombia,2020-01-20,0,0
Colombia,2020-03-02,2,2
Colombia,2020-03-09,22.5,20.5
Colombia,2020-03-16,124.14285714285714,101.64285714285714
Colombia,2020-03-23,495,370.8571428571429
Colombia,2020-03-30,1155.4285714285713,660.4285714285713
Colombia,2020-04-06,1679.5,524.0714285714287
Congo (Brazzaville),2020-03-09,1,0
Congo (Brazzaville),2020-03-16,5,4
Congo (Brazzaville),2020-03-23,6.142857142857143,1.1428571428571432
Congo (Brazzaville),2020-03-30,24,17.857142857142858
Congo (Brazzaville),2020-04-06,45,21
Congo (Kinshasa),2020-03-09,5,0
Congo (Kinshasa),2020-03-16,15.333333333333334,10.333333333333334
Congo (Kinshasa),2020-03-23,51.57142857142857,36.238095238095234
Congo (Kinshasa),2020-03-30,123.42857142857143,71.85714285714286
Congo (Kinshasa),2020-04-06,170.5,47.07142857142857
Costa Rica,2020-03-02,2.3333333333333335,0
Costa Rica,2020-03-09,25.8,23.46666666666667
Costa Rica,2020-03-16,76.42857142857143,50.62857142857143
Costa Rica,2020-03-23,234.14285714285714,157.71428571428572
Costa Rica,2020-03-30,393.2857142857143,159.14285714285714
Costa Rica,2020-04-06,475,81.71428571428572
Cote d'Ivoire,2020-03-09,2,0
Cote d'Ivoire,2020-03-16,11.4,9.4
Cote d'Ivoire,2020-03-23,91.57142857142857,80.17142857142856
Cote d'Ivoire,2020-03-30,207.85714285714286,116.28571428571429
Cote d'Ivoire,2020-04-06,336,128.14285714285714
Croatia,2020-02-24,6.4,0
Croatia,2020-03-02,19,12.6
Croatia,2020-03-09,42.75,23.75
Croatia,2020-03-16,128,85.25
Croatia,2020-03-23,512.8571428571429,384.8571428571429
Croatia,2020-03-30,1002.5714285714286,489.71428571428567
Croatia,2020-04-06,1252,249.42857142857144
Cruise Ship,2020-03-09,2436,0
Cruise Ship,2020-03-16,1186.6666666666667,-1249.3333333333333
Cruise Ship,2020-03-23,712,-474.66666666666674
Cuba,2020-03-09,6.333333333333333,0
Cuba,2020-03-16,15.833333333333334,9.5
Cuba,2020-03-23,78.57142857142857,62.738095238095234
Cuba,2020-03-30,239.71428571428572,161.14285714285717
Cuba,2020-04-06,373,133.28571428571428
Curacao,2020-03-09,2,0
Cyprus,2020-03-09,20.75,0
Cyprus,2020-03-16,73.5,52.75
Cyprus,2020-03-23,153.28571428571428,79.78571428571428
Cyprus,2020-03-30,348,194.71428571428572
Cyprus,2020-04-06,479.5,131.5
Czech Republic,2020-02-24,3,0
Czech Republic,2020-03-02,18.142857142857142,15.142857142857142
Czech Republic,2020-03-09,41,22.857142857142858
Czechia,2020-03-09,192,0
Czechia,2020-03-16,685.7142857142857,493.71428571428567
Czechia,2020-03-23,1990.857142857143,1305.1428571428573
Czechia,2020-03-30,3832.1428571428573,1841.2857142857144
Czechia,2020-04-06,4919.5,1087.3571428571427
Denmark,2020-02-24,4.333333333333333,0
Denmark,2020-03-02,26.75,22.416666666666668
Denmark,2020-03-09,654.6666666666666,627.9166666666666
Denmark,2020-03-16,1223.857142857143,569.1904761904763
Denmark,2020-03-23,2043.5714285714287,819.7142857142858
Denmark,2020-03-30,3633.285714285714,1589.7142857142856
Denmark,2020-04-06,5070.5,1437.2142857142858
Diamond Princess,2020-03-23,712,0
Diamond Princess,2020-03-30,712,0
Diamond Princess,2020-04-06,712,0
Djibouti,2020-03-16,1.6666666666666667,0
Djibouti,2020-03-23,10.285714285714286,8.61904761904762
Djibouti,2020-03-30,39.857142857142854,29.57142857142857
Djibouti,2020-04-06,90,50.142857142857146
Dominica,2020-03-16,1,0
Dominica,2020-03-23,7.857142857142857,6.857142857142857
Dominica,2020-03-30,12.428571428571429,4.571428571428572
Dominica,2020-04-06,15,2.571428571428571
Dominican Republic,2020-02-24,1,0
Dominican Republic,2020-03-02,11,10
Dominican Republic,2020-03-09,19,8
Dominican Republic,2020-03-16,92.4,73.4
Dominican Republic,2020-03-23,513.7142857142857,421.3142857142857
Dominican Republic,2020-03-30,1342.142857142857,828.4285714285714
Dominican Republic,2020-04-06,1892,549.8571428571429
East Timor,2020-03-16,1,0
Ecuador,2020-02-24,12,0
Ecuador,2020-03-02,17.5,5.5
Ecuador,2020-03-09,45.666666666666664,28.166666666666664
Ecuador,2020-03-16,295.2857142857143,249.61904761904762
Ecuador,2020-03-23,1425.857142857143,1130.5714285714287
Ecuador,2020-03-30,2941.714285714286,1515.857142857143
Ecuador,2020-04-06,3747,805.2857142857142
Egypt,2020-02-10,7,0
Egypt,2020-02-17,7,0
Egypt,2020-02-24,5,-2
Egypt,2020-03-02,27.333333333333332,22.333333333333332
Egypt,2020-03-09,90,62.66666666666667
Egypt,2020-03-16,243.42857142857142,153.42857142857142
Egypt,2020-03-23,491.42857142857144,248.00000000000003
Egypt,2020-03-30,891.1428571428571,399.71428571428567
Egypt,2020-04-06,1386,494.8571428571429
El Salvador,2020-03-16,2.6666666666666665,0
El Salvador,2020-03-23,12.285714285714286,9.61904761904762
El Salvador,2020-03-30,42.714285714285715,30.42857142857143
El Salvador,2020-04-06,73.5,30.785714285714285
Equatorial Guinea,2020-03-09,3,0
Equatorial Guinea,2020-03-16,9.333333333333334,6.333333333333334
Equatorial Guinea,2020-03-23,10.714285714285714,1.3809523809523796
Equatorial Guinea,2020-03-30,14.571428571428571,3.8571428571428577
Equatorial Guinea,2020-04-06,16,1.4285714285714288
Eritrea,2020-03-16,1,0
Eritrea,2020-03-23,5.142857142857143,4.142857142857143
Eritrea,2020-03-30,20.571428571428573,15.42857142857143
Eritrea,2020-04-06,31,10.428571428571427
Estonia,2020-02-24,5,0
Estonia,2020-03-02,15.666666666666666,10.666666666666666
Estonia,2020-03-09,102.25,86.58333333333333
Estonia,2020-03-16,267.14285714285717,164.89285714285717
Estonia,2020-03-23,508.85714285714283,241.71428571428567
Estonia,2020-03-30,884.8571428571429,376.00000000000006
Estonia,2020-04-06,1128.5,243.6428571428571
Eswatini,2020-03-09,4,0
Eswatini,2020-03-16,4,0
Eswatini,2020-03-23,6.428571428571429,2.428571428571429
Eswatini,2020-03-30,9,2.571428571428571
Eswatini,2020-04-06,10,1
Ethiopia,2020-03-09,1.5,0
Ethiopia,2020-03-16,12.75,11.25
Ethiopia,2020-03-23,14.285714285714286,1.5357142857142865
Ethiopia,2020-03-30,31.857142857142858,17.57142857142857
Ethiopia,2020-04-06,48,16.142857142857142
Faroe Islands,2020-03-02,5,0
Fiji,2020-03-16,2.5,0
Fiji,2020-03-23,4.571428571428571,2.071428571428571
Fiji,2020-03-30,7.571428571428571,3
Fiji,2020-04-06,14.5,6.928571428571429
Finland,2020-01-27,4.666666666666667,0
Finland,2020-02-10,14,9.333333333333332
Finland,2020-02-24,11,-3
Finland,2020-03-02,21.666666666666668,10.666666666666668
Finland,2020-03-09,162.4,140.73333333333335
Finland,2020-03-16,419,256.6
Finland,2020-03-23,968.2857142857143,549.2857142857143
Finland,2020-03-30,1594,625.7142857142857
Finland,2020-04-06,2242,648
France,2020-01-20,2.6666666666666665,0
France,2020-01-27,10.666666666666666,8
France,2020-02-03,44,33.333333333333336
France,2020-02-10,76.5,32.5
France,2020-02-24,59.5,-17
France,2020-03-02,540.7142857142857,481.21428571428567
France,2020-03-09,4046.8,3506.0857142857144
France,2020-03-16,11058.857142857143,7012.057142857143
France,2020-03-23,30015.85714285714,18957
France,2020-03-30,66499.71428571429,36483.857142857145
France,2020-04-06,104514,38014.28571428571
French Guiana,2020-03-02,35,0
French Guiana,2020-03-09,5,-30
French Guiana,2020-03-16,25.666666666666668,20.666666666666668
Gabon,2020-03-09,6,0
Gabon,2020-03-16,4,-2
Gabon,2020-03-23,6.428571428571429,2.428571428571429
Gabon,2020-03-30,17.857142857142858,11.428571428571429
Gabon,2020-04-06,27,9.142857142857142
Gambia,2020-03-16,1,0
Gambia,2020-03-23,3,2
Gambia,2020-03-30,4,1
Gambia,2020-04-06,4,0
"Gambia, The",2020-03-16,4,0
Georgia,2020-02-24,5.333333333333333,0
Georgia,2020-03-02,12.5,7.166666666666667
Georgia,2020-03-09,55.333333333333336,42.833333333333336
